"Order ID","PROUDCT NAME","UPC","RETURN REASON","RETURN DATE","CURRENT STATUS","UNIT","PO#","PO Line#","RMA#","RETURN ORDER LINE#","FAULT","CURRENT_TRACKING_STATUS","DELIVERED_DATE","RECEIVED_SCAN_DATE","DISPOSITION","ITEM_CONDITION"
"200010719330981","Restored Apple iPhone 11 Pro 256GB Midnight Green Fully Unlocked Smartphone (Refurbished)","689518378872","Damaged","2023-02-05T22:41:43Z","DELIVERED_AT_RC_POST_INVOICE","1","108801358078313","1","155405779049904519","1","WFS","deliveredToRC","2023-02-14T10:33:00.000+0000","2023-02-17T20:19:34.567+0000","DISPOSE","UNSELLABLE"
"200010732361984","Apple iPhone 11 Pro 256GB Midnight Green Fully Unlocked B Grade Used Smartphone","689518382411","Incorrect item","2023-02-05T22:35:01Z","RETURN_CANCELLED","1","108800640292690","1","152120631108627704","1","WFS","initiated","NA","NA","NA","NA"
"200010719330981","Restored Apple iPhone 11 Pro 256GB Midnight Green Fully Unlocked Smartphone (Refurbished)","689518378872","Defective","2023-02-05T22:34:33Z","RETURN_CANCELLED","1","108801358078313","1","152462010723532572","1","SELLER","initiated","NA","NA","NA","NA"
"200010719330981","Restored Apple iPhone 11 Pro 256GB Midnight Green Fully Unlocked Smartphone (Refurbished)","689518378872","Defective","2023-02-05T22:32:00Z","RETURN_CANCELLED","1","108801358078313","1","156059943931125626","1","SELLER","initiated","NA","NA","NA","NA"
"200010719330981","Restored Apple iPhone 11 Pro 256GB Midnight Green Fully Unlocked Smartphone (Refurbished)","689518378872","Incorrect item","2023-02-05T21:51:29Z","RETURN_CANCELLED","1","108801358078313","1","152462802770428378","1","SELLER","initiated","NA","NA","NA","NA"
"200010700792462","Restored Apple Watch Series 3 38mm GPS + Cellular - Space Black - Black Sport Band (Refurbished)","012436786823","Changed Mind","2023-02-05T21:36:02Z","DELIVERED_AT_RC_POST_INVOICE","1","108802382428330","2","152438459466587032","2","CUSTOMER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-13T20:41:09.468+0000","DISPOSE","UNSELLABLE"
"200010700792462","Restored Apple Watch Series 4 GPS + LTE - 44mm - Sport Band - Aluminum Case (Refurbished)","190403914728","Defective","2023-02-05T21:36:02Z","DELIVERED_AT_RC_POST_INVOICE","1","108802382428330","1","152438459466587032","1","SELLER","deliveredToRC","2023-02-08T11:46:00.000+0000","2023-02-13T20:40:37.332+0000","DISPOSE","UNSELLABLE"
"200010718066061","JBL Flip 5 Portable Waterproof Wireless Bluetooth Speaker - Red","050036359283","Changed Mind","2023-02-05T20:35:28Z","DELIVERED_AT_RC_POST_INVOICE","1","108803110757367","1","152120014988542976","1","CUSTOMER","deliveredToRC","2023-02-15T11:05:00.000+0000","2023-02-20T15:53:13.398+0000","RTV","UNSELLABLE"
"200010563659905","Restored Apple Watch Series 3 38mm GPS - Space Gray - Black Sport Band (Refurbished)","791109151327","Damaged","2023-02-05T20:16:49Z","DELIVERED_AT_RC_POST_INVOICE","1","108735278424269","1","152462484468334372","1","WFS","deliveredToRC","2023-02-09T11:03:00.000+0000","2023-02-14T20:44:40.823+0000","DISPOSE","UNSELLABLE"
"200010522672846","Restored Apple Smart Watch Gen 3 Series 3 38mm Space Gray Aluminum - Black Sport Band MQKV2LL/A (Refurbished)","190403173170","Changed Mind","2023-02-05T20:15:09Z","RETURN_CANCELLED","1","108733926392333","3","152120827810905202","1"," ","initiated","NA","NA","NA","NA"
"200010769080216","Restored Apple Watch Series 5 (GPS, 40mm) - Space Gray Aluminum Case with Black Sport Band (Refurbished)","194026648435","Changed Mind","2023-02-05T19:09:05Z","DELIVERED_AT_RC_POST_INVOICE","1","108801971092405","1","154172662996567955","1","CUSTOMER","deliveredToRC","2023-02-13T12:24:19.000+0000","2023-02-23T00:03:19.522+0000","RTV","UNSELLABLE"
"200010738069511","Restored Apple Watch Gen 7 Series 7 Cell 45mm Midnight Aluminum - Midnight Sport Band MKJ73LL/A (Refurbished)","195925258350","Changed Mind","2023-02-05T18:12:27Z","RETURN_CANCELLED","1","108803315057235","1","157504681708320371","1"," ","initiated","NA","NA","NA","NA"
"200010684063329","Restored Apple Watch Series 3 GPS + LTE - 38mm - Sport Band - Aluminum Case (Refurbished)","190403191457","Damaged","2023-02-05T17:45:25Z","RETURN_CANCELLED","1","108736216743304","1","153027989422603505","1","WFS","initiated","NA","NA","NA","NA"
"200010742239807","Restored Apple Watch Series 4 GPS + LTE - 40mm - Sport Band - Aluminum Case (Refurbished)","190403914803","Changed Mind","2023-02-05T17:01:06Z","RETURN_CANCELLED","1","108803520577341","1","157504834410036932","1"," ","initiated","NA","NA","NA","NA"
"200010595463449","Restored Apple iPhone 11 Pro Max Midnight Green 256GB Fully Unlocked Smartphone (Refurbished)","689518370593","Defective","2023-02-05T16:56:42Z","RETURN_INVOICED","1","108736317403431","1","157632809423900386","1","SELLER","deliveredToRC","2023-02-19T13:18:00.000+0000","2023-02-23T05:47:21.574+0000","RTV","UNSELLABLE"
"200010740569507","iPhone 12 64GB Blue (Unlocked) Used Grade B","686457013246","Changed Mind","2023-02-05T16:37:05Z","RETURN_INVOICED","1","108802995925292","1","156059145200477502","1","CUSTOMER","deliveredToRC","2023-02-09T21:00:00.000+0000","2023-02-15T16:51:59.144+0000","RTV","UNSELLABLE"
"200010582491776","Restored Apple Watch Series 4 (GPS + Cellular) 40mm Rose Gold Aluminum Case with Pink Sand Sport Band (Refurbished)","400063229750","Incorrect item","2023-02-05T15:43:39Z","RETURN_INVOICED","1","108731934745062","1","152060350749630398","1","WFS","inTransit","NA","NA","NA","NA"
"200010490474539","Restored Apple Watch Series 3 - 42mm Space Gray Aluminum Case - Gray Sport Band (Refurbished)","190403172623","Damaged","2023-02-05T04:22:56Z","DELIVERED_AT_RC_POST_INVOICE","1","108732039251826","1","151803040646729323","1","WFS","deliveredToRC","2023-02-13T12:24:00.000+0000","2023-02-17T15:39:56.014+0000","DISPOSE","UNSELLABLE"
"200010726452637","Restored Apple Watch Series 3 38mm GPS + Cellular - Space Black - Black Sport Band (Refurbished)","012436786823","Lost","2023-02-05T04:08:27Z","RETURN_INVOICED","1","108803110498274","1","152938962305421084","1","WFS","initiated","NA","NA","NA","NA"
"200010605740232","Restored Apple Watch Series 5 44mm GPS Cellular LTE Aluminum Space Gray Black Sport Band (Refurbished)","697560275032","Defective","2023-02-05T03:15:43Z","RETURN_CANCELLED","1","108733177446906","1","157618931078686451","1","SELLER","initiated","NA","NA","NA","NA"
"200010706525649","Apple iPhone 11 Pro 256GB Silver Fully Unlocked B Grade Used","689518372085","Lost","2023-02-05T01:02:04Z","RETURN_INVOICED","1","108802995501247","1","155405180174394796","1","WFS","initiated","NA","NA","NA","NA"
